HDR,ROLLING SYSTEM DEMAND,
VD,2.02109E+13,33090
VD,2.02109E+13,33092
VD,2.02109E+13,33232
VD,2.02109E+13,33248
VD,2.02109E+13,33289
VD,2.02109E+13,33223
VD,2.02109E+13,33209
VD,2.02109E+13,33193
VD,2.02109E+13,33219
VD,2.02109E+13,33084
VD,2.02109E+13,32926
VD,2.02109E+13,32753
VD,2.02109E+13,32465
VD,2.02109E+13,32237
VD,2.02109E+13,32326
VD,2.02109E+13,32167
VD,2.02109E+13,31894
VD,2.02109E+13,31718
VD,2.02109E+13,31465
VD,2.02109E+13,31217
VD,2.02109E+13,31004
VD,2.02109E+13,30723
VD,2.02109E+13,30493
VD,2.02109E+13,30266
VD,2.02109E+13,29887
VD,2.02109E+13,29629
VD,2.02109E+13,29486
VD,2.02109E+13,29313
VD,2.02109E+13,29096
VD,2.02109E+13,28884
VD,2.02109E+13,28751
VD,2.02109E+13,28551
VD,2.02109E+13,28423
VD,2.02109E+13,27850
VD,2.02109E+13,27531
VD,2.02109E+13,27278
VD,2.02109E+13,27131
VD,2.02109E+13,27049
VD,2.02109E+13,26904
VD,2.02109E+13,26462
VD,2.02109E+13,26141
VD,2.02109E+13,26020
VD,2.02109E+13,25726
VD,2.02109E+13,25514
VD,2.02109E+13,25240
VD,2.02109E+13,25111
VD,2.02109E+13,24853
VD,2.02109E+13,24577
VD,2.02109E+13,24344
VD,2.02109E+13,24193
VD,2.02109E+13,23892
VD,2.02109E+13,23651
VD,2.02109E+13,23631
VD,2.02109E+13,23533
VD,2.02109E+13,23434
VD,2.02109E+13,23302
VD,2.02109E+13,23201
VD,2.02109E+13,23153
VD,2.02109E+13,23062
VD,2.02109E+13,23049
VD,2.02109E+13,22888
VD,2.02109E+13,22795
VD,2.02109E+13,22643
VD,2.02109E+13,22515
VD,2.02109E+13,22479
VD,2.02109E+13,22392
VD,2.02109E+13,22282
VD,2.02109E+13,22231
VD,2.02109E+13,22387
VD,2.02109E+13,22391
VD,2.02109E+13,22271
VD,2.02109E+13,22369
VD,2.02109E+13,22474
VD,2.02109E+13,22418
VD,2.02109E+13,22365
VD,2.02109E+13,22325
VD,2.02109E+13,22343
VD,2.02109E+13,22349
VD,2.02109E+13,22273
VD,2.02109E+13,22246
VD,2.02109E+13,22190
VD,2.02109E+13,22220
VD,2.02109E+13,22157
VD,2.02109E+13,22004
VD,2.02109E+13,21906
VD,2.02109E+13,21926
VD,2.02109E+13,21988
VD,2.02109E+13,21984
VD,2.02109E+13,21928
VD,2.02109E+13,21913
VD,2.02109E+13,21841
VD,2.02109E+13,21763
VD,2.02109E+13,21754
VD,2.02109E+13,21743
VD,2.02109E+13,21728
VD,2.02109E+13,21717
VD,2.02109E+13,21770
VD,2.02109E+13,21774
VD,2.02109E+13,21723
VD,2.02109E+13,21810
VD,2.02109E+13,22001
VD,2.02109E+13,22029
VD,2.02109E+13,22050
VD,2.02109E+13,22054
VD,2.02109E+13,21925
VD,2.02109E+13,21946
VD,2.02109E+13,22108
VD,2.02109E+13,22194
VD,2.02109E+13,22189
VD,2.02109E+13,22225
VD,2.02109E+13,21991
VD,2.02109E+13,21908
VD,2.02109E+13,22183
VD,2.02109E+13,22259
VD,2.02109E+13,22347
VD,2.02109E+13,22442
VD,2.02109E+13,22638
VD,2.02109E+13,22891
VD,2.02109E+13,23087
VD,2.02109E+13,23284
VD,2.02109E+13,23516
VD,2.02109E+13,23444
VD,2.02109E+13,23786
VD,2.02109E+13,24023
VD,2.02109E+13,24201
VD,2.02109E+13,24406
VD,2.02109E+13,24737
VD,2.02109E+13,24905
VD,2.02109E+13,25283
VD,2.02109E+13,25651
VD,2.02109E+13,25957
VD,2.02109E+13,26252
VD,2.02109E+13,26664
VD,2.02109E+13,26985
