Season,Site,Month,Day,Year,ND Coach,W/L/T,Score,ND Rank,Opponent,Opp. Coach,Opp. Rank
1990,AWAY,NOV,10,1990,HOLTZ,W,34-29,1,TENNESSEE,JOHNNY MAJORS,9
1990,HOME,NOV,17,1990,HOLTZ,L,21-24,1,PENN STATE,JOE PATERNO,18
1990,AWAY,NOV,24,1990,HOLTZ,W,28-10,7,SOUTHERN CAL,LARRY SMITH,18
1990,ORANGE BOWL,JAN,1,1991,HOLTZ,L,3-10,5,COLORADO,BILL McCARTNEY,1
1991,HOME,SEP,7,1991,HOLTZ,W,49-27,7,INDIANA,BILL MALLORY,Not Ranked
1991,AWAY,SEP,14,1991,HOLTZ,L,14-24,7,MICHIGAN,GARY MOELLER,3
1991,HOME,SEP,21,1991,HOLTZ,W,49-10,11,MICHIGAN STATE,GEORGE PERLES,Not Ranked
1991,AWAY,SEP,28,1991,HOLTZ,W,45-20,8,PURDUE,JIM COLLETTO,Not Ranked
1991,AWAY,OCT,5,1991,HOLTZ,W,42-26,8,STANFORD,DENNIS GREEN,Not Ranked
1991,HOME,OCT,12,1991,HOLTZ,W,42-7,7,PITT,PAUL HACKETT,12
1991,AWAY,OCT,19,1991,HOLTZ,W,28-15,5,AIR FORCE,FISHER DeBERRY,Not Ranked
1991,HOME,OCT,26,1991,HOLTZ,W,24-20,5,SOUTHERN CAL,LARRY SMITH,Not Ranked
1991,HOME,NOV,2,1991,HOLTZ,W,38-0,5,NAVY,GEORGE CHAUMP,Not Ranked
1991,HOME,NOV,9,1991,HOLTZ,L,34-35,5,TENNESSEE,JOHNNY MAJORS,13
1991,AWAY,NOV,16,1991,HOLTZ,L,13-35,12,PENN STATE,JOE PATERNO,8
1991,AWAY,NOV,30,1991,HOLTZ,W,48-42,17,HAWAII,BOB WAGNER,Not Ranked
1991,SUGAR BOWL,JAN,1,1992,HOLTZ,W,39-28,18,FLORIDA,STEVE SPURRIER,3
1992,SOLDIER FIELD,SEP,5,1992,HOLTZ,W,42-7,3,NORTHWESTERN,GARY BARNETT,Not Ranked
1992,HOME,SEP,12,1992,HOLTZ,T,17-17,3,MICHIGAN,GARY MOELLER,6
1992,AWAY,SEP,19,1992,HOLTZ,W,52-31,7,MICHIGAN STATE,GEORGE PERLES,Not Ranked
1992,HOME,SEP,26,1992,HOLTZ,W,48-0,6,PURDUE,JIM COLLETTO,Not Ranked
1992,HOME,OCT,3,1992,HOLTZ,L,16-33,6,STANFORD,BILL WALSH,18
1992,AWAY,OCT,10,1992,HOLTZ,W,52-21,13,PITT,PAUL HACKETT,Not Ranked
1992,HOME,OCT,24,1992,HOLTZ,W,42-16,10,BRIGHAM YOUNG,LAVELL EDWARDS,Not Ranked
1992,GIANTS STADIUM,OCT,31,1992,HOLTZ,W,38-7,10,NAVY,GEORGE CHAUMP,Not Ranked
1992,HOME,NOV,7,1992,HOLTZ,W,54-7,8,BOSTON COLLEGE,TOM COUGHLIN,9
1992,HOME,NOV,14,1992,HOLTZ,W,17-16,8,PENN STATE,JOE PATERNO,22
1992,AWAY,NOV,28,1992,HOLTZ,W,31-23,5,SOUTHERN CAL,LARRY SMITH,19
1992,COTTON BOWL,JAN,1,1993,HOLTZ,W,28-3,5,TEXAS A&M,R.C. SLOCUM,4
1993,HOME,SEP,4,1993,HOLTZ,W,27-12,7,NORTHWESTERN,GARY BARNETT,Not Ranked
1993,AWAY,SEP,11,1993,HOLTZ,W,27-23,11,MICHIGAN,GARY MOELLER,3
1993,HOME,SEP,18,1993,HOLTZ,W,36-14,4,MICHIGAN STATE,GEORGE PERLES,Not Ranked
1993,AWAY,SEP,25,1993,HOLTZ,W,17-0,4,PURDUE,JIM COLLETTO,Not Ranked
1993,AWAY,OCT,2,1993,HOLTZ,W,48-20,4,STANFORD,BILL WALSH,Not Ranked
1993,HOME,OCT,9,1993,HOLTZ,W,44-0,4,PITT,JOHNNY MAJORS,Not Ranked
1993,AWAY,OCT,16,1993,HOLTZ,W,45-20,3,BRIGHAM YOUNG,LAVELL EDWARDS,Not Ranked
1993,HOME,OCT,23,1993,HOLTZ,W,31-13,2,SOUTHERN CAL,JOHN ROBINSON,Not Ranked
1993,VETERANS STADIUM,OCT,30,1993,HOLTZ,W,58-27,2,NAVY,GEORGE CHAUMP,Not Ranked
1993,HOME,NOV,13,1993,HOLTZ,W,31-24,2,FLORIDA STATE,BOBBY BOWDEN,1
1993,HOME,NOV,20,1993,HOLTZ,L,39-41,1,BOSTON COLLEGE,TOM COUGHLIN,17
1993,COTTON BOWL,JAN,1,1994,HOLTZ,W,24-21,4,TEXAS A&M,R.C. SLOCUM,7
1994,SOLDIER FIELD,SEP,3,1994,HOLTZ,W,42-15,3,NORTHWESTERN,GARY BARNETT,Not Ranked
1994,HOME,SEP,10,1994,HOLTZ,L,24-26,3,MICHIGAN,GARY MOELLER,6
1994,AWAY,SEP,17,1994,HOLTZ,W,21-20,8,MICHIGAN STATE,GEORGE PERLES,Not Ranked
1994,HOME,SEP,24,1994,HOLTZ,W,39-21,9,PURDUE,JIM COLLETTO,Not Ranked
1994,HOME,OCT,1,1994,HOLTZ,W,34-15,8,STANFORD,BILL WALSH,Not Ranked
1994,AWAY,OCT,8,1994,HOLTZ,L,14-21,8,BOSTON COLLEGE,DAN HENNING,Not Ranked
1994,HOME,OCT,15,1994,HOLTZ,L,14-21,17,BRIGHAM YOUNG,LAVELL EDWARDS,Not Ranked
1994,HOME,OCT,29,1994,HOLTZ,W,58-21,Not Ranked,NAVY,GEORGE CHAUMP,Not Ranked
1994,ORLANDO,NOV,12,1994,HOLTZ,L,16-23,Not Ranked,FLORIDA STATE,BOBBY BOWDEN,8
1994,HOME,NOV,19,1994,HOLTZ,W,42-30,Not Ranked,AIR FORCE,FISHER DeBERRY,Not Ranked
1994,AWAY,NOV,26,1994,HOLTZ,T,17-17,Not Ranked,SOUTHERN CAL,JOHN ROBINSON,17
1994,FIESTA BOWL,JAN,2,1995,HOLTZ,L,24-41,Not Ranked,COLORADO,BILL McCARTNEY,4
1995,HOME,SEP,2,1995,HOLTZ,L,15-17,9,NORTHWESTERN,GARY BARNETT,Not Ranked
1995,AWAY,SEP,9,1995,HOLTZ,W,35-28,25,PURDUE,JIM COLLETTO,Not Ranked
1995,HOME,SEP,16,1995,HOLTZ,W,41-0,24,VANDERBILT,ROD DOWHOWER,Not Ranked
1995,HOME,SEP,23,1995,HOLTZ,W,55-27,21,TEXAS,JOHN MACKOVIC,13
1995,AWAY,SEP,30,1995,HOLTZ,L,26-45,15,OHIO STATE,JOHN COOPER,7
1995,AWAY,OCT,7,1995,HOLTZ,W,29-21,23,WASHINGTON,JIM LAMBRIGHT,15
1995,GIANTS STADIUM,OCT,14,1995,HOLTZ,W,28-27,17,ARMY,BOB SUTTON,Not Ranked
1995,HOME,OCT,21,1995,HOLTZ,W,38-10,17,SOUTHERN CAL,JOHN ROBINSON,5
1995,HOME,OCT,28,1995,HOLTZ,W,20-10,17,BOSTON COLLEGE,DAN HENNING,Not Ranked
1995,HOME,NOV,4,1995,HOLTZ,W,35-17,12,NAVY,CHARLIE WEATHERBIE,Not Ranked
1995,AWAY,NOV,18,1995,HOLTZ,W,44-14,8,AIR FORCE,FISHER DeBERRY,Not Ranked
1995,ORANGE BOWL,JAN,1,1996,HOLTZ,L,26-31,6,FLORIDA STATE,BOBBY BOWDEN,8
1996,AWAY,SEP,5,1996,HOLTZ,W,14-7,6,VANDERBILT,ROD DOWHOWER,Not Ranked
1996,HOME,SEP,14,1996,HOLTZ,W,35-0,9,PURDUE,JIM COLLETTO,Not Ranked
1996,AWAY,SEP,21,1996,HOLTZ,W,27-24,9,TEXAS,JOHN MACKOVIC,6
1996,HOME,SEP,28,1996,HOLTZ,L,16-29,5,OHIO STATE,JOHN COOPER,4
1996,HOME,OCT,12,1996,HOLTZ,W,54-20,11,WASHINGTON,JIM LAMBRIGHT,16
1996,HOME,OCT,19,1996,HOLTZ,L,17-20,8,AIR FORCE,FISHER DeBERRY,Not Ranked
1996,DUBLIN,NOV,2,1996,HOLTZ,W,54-27,19,NAVY,CHARLIE WEATHERBIE,Not Ranked
1996,AWAY,NOV,9,1996,HOLTZ,W,40-21,17,BOSTON COLLEGE,DAN HENNING,Not Ranked
1996,HOME,NOV,16,1996,HOLTZ,W,60-6,14,PITT,JOHNNY MAJORS,Not Ranked
1996,HOME,NOV,23,1996,HOLTZ,W,62-0,10,RUTGERS,TERRY SHEA,Not Ranked
1996,AWAY,NOV,30,1996,HOLTZ,L,20-27,10,SOUTHERN CAL,JOHN ROBINSON,Not Ranked
1997,HOME,SEP,6,1997,DAVIE,W,17-13,11,GEORGIA TECH,GEORGE O'LEARY,Not Ranked
1997,AWAY,SEP,13,1997,DAVIE,L,17-28,12,PURDUE,JOE TILLER,Not Ranked
1997,HOME,SEP,20,1997,DAVIE,L,10-14,Not Ranked,MICHIGAN STATE,NICK SABAN,17
1997,AWAY,SEP,27,1997,DAVIE,L,14-21,Not Ranked,MICHIGAN,LLOYD CARR,6
1997,AWAY,OCT,4,1997,DAVIE,L,15-33,Not Ranked,STANFORD,TYRONE WILLINGHAM,19
1997,AWAY,OCT,11,1997,DAVIE,W,45-21,Not Ranked,PITT,WALT HARRIS,Not Ranked
1997,HOME,OCT,18,1997,DAVIE,L,17-20,Not Ranked,SOUTHERN CAL,JOHN ROBINSON,Not Ranked
1997,HOME,OCT,25,1997,DAVIE,W,52-20,Not Ranked,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
1997,HOME,NOV,1,1997,DAVIE,W,21-17,Not Ranked,NAVY,CHARLIE WEATHERBIE,Not Ranked
1997,AWAY,NOV,15,1997,DAVIE,W,24-6,Not Ranked,LOUISIANA STATE,GERRY DiNARDO,11
1997,HOME,NOV,22,1997,DAVIE,W,21-14,Not Ranked,WEST VIRGINIA,DON NEHLEN,22
1997,AWAY,NOV,29,1997,DAVIE,W,23-22,Not Ranked,HAWAII,FRED von APPEN,Not Ranked
1997,INDEPENDENCE BOWL,DEC,28,1997,DAVIE,L,17-20,Not Ranked,LOUISIANA STATE,GERRY DiNARDO,15
1998,HOME,SEP,5,1998,DAVIE,W,36-20,22,MICHIGAN,LLOYD CARR,5
1998,AWAY,SEP,12,1998,DAVIE,L,23-45,10,MICHIGAN STATE,NICK SABAN,Not Ranked
1998,HOME,SEP,26,1998,DAVIE,W,31-30,23,PURDUE,JOE TILLER,Not Ranked
1998,HOME,OCT,3,1998,DAVIE,W,35-17,23,STANFORD,TYRONE WILLINGHAM,Not Ranked
1998,AWAY,OCT,10,1998,DAVIE,W,28-9,22,ARIZONA STATE,BRUCE SNYDER,Not Ranked
1998,HOME,OCT,24,1998,DAVIE,W,20-17,18,ARMY,BOB SUTTON,Not Ranked
1998,HOME,OCT,31,1998,DAVIE,W,27-3,16,BAYLOR,DAVE ROBERTS,Not Ranked
1998,AWAY,NOV,7,1998,DAVIE,W,31-26,13,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
1998,"RALJON, MD",NOV,14,1998,DAVIE,W,30-0,12,NAVY,CHARLIE WEATHERBIE,Not Ranked
1998,HOME,NOV,21,1998,DAVIE,W,39-36,10,LOUISIANA STATE,GERRY DiNARDO,Not Ranked
1998,AWAY,NOV,28,1998,DAVIE,L,0-10,9,SOUTHERN CAL,PAUL HACKETT,Not Ranked
1998,GATOR BOWL,JAN,1,1999,DAVIE,L,28-35,17,GEORGIA TECH,GEORGE O'LEARY,12
1999,HOME,AUG,28,1999,DAVIE,W,48-13,18,KANSAS,TERRY ALLEN,Not Ranked
1999,AWAY,SEP,4,1999,DAVIE,L,22-26,16,MICHIGAN,LLOYD CARR,7
1999,AWAY,SEP,11,1999,DAVIE,L,23-28,16,PURDUE,JOE TILLER,20
1999,HOME,SEP,18,1999,DAVIE,L,13-23,24,MICHIGAN STATE,NICK SABAN,Not Ranked
1999,HOME,OCT,2,1999,DAVIE,W,34-30,Not Ranked,OKLAHOMA,BOB STOOPS,23
1999,HOME,OCT,9,1999,DAVIE,W,48-17,Not Ranked,ARIZONA STATE,BRUCE SNYDER,Not Ranked
1999,HOME,OCT,16,1999,DAVIE,W,25-24,Not Ranked,SOUTHERN CAL,PAUL HACKETT,Not Ranked
1999,HOME,OCT,30,1999,DAVIE,W,28-24,Not Ranked,NAVY,CHARLIE WEATHERBIE,Not Ranked
1999,AWAY,NOV,6,1999,DAVIE,L,14-38,24,TENNESSEE,PHILLIP FULMER,4
1999,AWAY,NOV,13,1999,DAVIE,L,27-37,Not Ranked,PITT,WALT HARRIS,Not Ranked
1999,HOME,NOV,20,1999,DAVIE,L,29-31,Not Ranked,BOSTON COLLEGE,TOM O'BRIEN,25
1999,AWAY,NOV,27,1999,DAVIE,L,37-40,Not Ranked,STANFORD,TYRONE WILLINGHAM,Not Ranked
2000,HOME,SEP,2,2000,DAVIE,W,24-10,Not Ranked,TEXAS A&M,R.C. SLOCUM,25
2000,HOME,SEP,9,2000,DAVIE,L,24-27,23,NEBRASKA,FRANK SOLICH,1
2000,HOME,SEP,16,2000,DAVIE,W,23-21,21,PURDUE,JOE TILLER,13
2000,AWAY,SEP,23,2000,DAVIE,L,21-27,16,MICHIGAN STATE,BOBBY WILLIAMS,23
2000,HOME,OCT,7,2000,DAVIE,W,20-14,25,STANFORD,TYRONE WILLINGHAM,Not Ranked
2000,ORLANDO,OCT,14,2000,DAVIE,W,45-14,20,NAVY,CHARLIE WEATHERBIE,Not Ranked
2000,AWAY,OCT,21,2000,DAVIE,W,42-28,20,WEST VIRGINIA,DON NEHLEN,Not Ranked
2000,HOME,OCT,28,2000,DAVIE,W,34-31,19,AIR FORCE,FISHER DeBERRY,Not Ranked
2000,HOME,NOV,11,2000,DAVIE,W,28-16,11,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
2000,AWAY,NOV,18,2000,DAVIE,W,45-17,11,RUTGERS,TERRY SHEA,Not Ranked
2000,AWAY,NOV,25,2000,DAVIE,W,38-21,11,SOUTHERN CAL,PAUL HACKETT,Not Ranked
2000,FIESTA BOWL,JAN,1,2001,DAVIE,L,20-21,10,OREGON STATE,DENNIS ERICKSON,5
2001,AWAY,SEP,8,2001,DAVIE,L,10-14,17,NEBRASKA,FRANK SOLICH,5
2001,HOME,SEP,22,2001,DAVIE,L,0-7,23,MICHIGAN STATE,BOBBY WILLIAMS,Not Ranked
2001,AWAY,SEP,29,2001,DAVIE,L,10-21,Not Ranked,TEXAS A&M,R.C. SLOCUM,Not Ranked
2001,HOME,OCT,6,2001,DAVIE,W,24-7,Not Ranked,PITT,WALT HARRIS,Not Ranked
2001,HOME,OCT,13,2001,DAVIE,W,34-24,Not Ranked,WEST VIRGINIA,RICH RODRIGUEZ,Not Ranked
2001,HOME,OCT,20,2001,DAVIE,W,27-16,Not Ranked,SOUTHERN CAL,PETE CARROLL,Not Ranked
2001,AWAY,OCT,27,2001,DAVIE,L,17-21,Not Ranked,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
2001,HOME,NOV,3,2001,DAVIE,L,18-28,Not Ranked,TENNESSEE,PHILLIP FULMER,7
2001,HOME,NOV,16,2001,DAVIE,W,34-16,Not Ranked,NAVY,RICK LANTZ,Not Ranked
2001,AWAY,NOV,24,2001,DAVIE,L,13-17,Not Ranked,STANFORD,TYRONE WILLINGHAM,13
2001,AWAY,DEC,1,2001,DAVIE,W,24-18,Not Ranked,PURDUE,JOE TILLER,Not Ranked
2002,GIANTS STADIUM,AUG,31,2002,WILLINGHAM,W,22-0,Not Ranked,MARYLAND,RALPH FRIEDGEN,21
2002,HOME,SEP,7,2002,WILLINGHAM,W,24-17,23,PURDUE,JOE TILLER,Not Ranked
2002,HOME,SEP,14,2002,WILLINGHAM,W,25-23,20,MICHIGAN,LLOYD CARR,7
2002,AWAY,SEP,21,2002,WILLINGHAM,W,21-17,12,MICHIGAN STATE,BOBBY WILLIAMS,Not Ranked
2002,HOME,OCT,5,2002,WILLINGHAM,W,31-7,9,STANFORD,BUDDY TEEVENS,Not Ranked
2002,HOME,OCT,12,2002,WILLINGHAM,W,14-6,8,PITT,WALT HARRIS,Not Ranked
2002,AWAY,OCT,19,2002,WILLINGHAM,W,21-14,7,AIR FORCE,FISHER DeBERRY,18
2002,AWAY,OCT,26,2002,WILLINGHAM,W,34-24,6,FLORIDA STATE,BOBBY BOWDEN,11
2002,HOME,NOV,2,2002,WILLINGHAM,L,21-22,4,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
2002,BALTIMORE,NOV,9,2002,WILLINGHAM,W,30-23,9,NAVY,PAUL JOHNSON,Not Ranked
2002,HOME,NOV,23,2002,WILLINGHAM,W,42-0,8,RUTGERS,GREG SCHIANO,Not Ranked
2002,AWAY,NOV,30,2002,WILLINGHAM,L,13-44,7,SOUTHERN CAL,PETE CARROLL,6
2002,GATOR BOWL,JAN,1,2003,WILLINGHAM,L,14-19,11,NORTH CAROLINA STATE,CHUCK AMATO,17
2003,HOME,SEP,6,2003,WILLINGHAM,W,29-26,19,WASHINGTON STATE,BILL DOBA,Not Ranked
2003,AWAY,SEP,13,2003,WILLINGHAM,L,0-38,15,MICHIGAN,LLOYD CARR,5
2003,HOME,SEP,20,2003,WILLINGHAM,L,16-22,Not Ranked,MICHIGAN STATE,JOHN L. SMITH,Not Ranked
2003,AWAY,SEP,27,2003,WILLINGHAM,L,10-23,Not Ranked,PURDUE,JOE TILLER,22
2003,AWAY,OCT,11,2003,WILLINGHAM,W,20-14,Not Ranked,PITT,WALT HARRIS,15
2003,HOME,OCT,18,2003,WILLINGHAM,L,14-45,Not Ranked,SOUTHERN CAL,PETE CARROLL,5
2003,AWAY,OCT,25,2003,WILLINGHAM,L,25-27,Not Ranked,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
2003,HOME,NOV,1,2003,WILLINGHAM,L,0-37,Not Ranked,FLORIDA STATE,BOBBY BOWDEN,5
2003,HOME,NOV,8,2003,WILLINGHAM,W,27-24,Not Ranked,NAVY,PAUL JOHNSON,Not Ranked
2003,HOME,NOV,15,2003,WILLINGHAM,W,33-14,Not Ranked,BRIGHAM YOUNG,GARY CROWTON,Not Ranked
2003,AWAY,NOV,29,2003,WILLINGHAM,W,57-7,Not Ranked,STANFORD,BUDDY TEEVENS,Not Ranked
2003,AWAY,DEC,6,2003,WILLINGHAM,L,12-38,Not Ranked,SYRACUSE,PAUL PASQUALONI,Not Ranked
2004,AWAY,SEP,4,2004,WILLINGHAM,L,17-20,Not Ranked,BRIGHAM YOUNG,GARY CROWTON,Not Ranked
2004,HOME,SEP,11,2004,WILLINGHAM,W,28-20,Not Ranked,MICHIGAN,LLOYD CARR,8
2004,AWAY,SEP,18,2004,WILLINGHAM,W,31-24,Not Ranked,MICHIGAN STATE,JOHN L. SMITH,Not Ranked
2004,HOME,SEP,25,2004,WILLINGHAM,W,38-3,Not Ranked,WASHINGTON,KEITH GILBERTSON,Not Ranked
2004,HOME,OCT,2,2004,WILLINGHAM,L,16-41,Not Ranked,PURDUE,JOE TILLER,15
2004,HOME,OCT,9,2004,WILLINGHAM,W,23-15,Not Ranked,STANFORD,BUDDY TEEVENS,Not Ranked
2004,GIANTS STADIUM,OCT,16,2004,WILLINGHAM,W,27-9,Not Ranked,NAVY,PAUL JOHNSON,Not Ranked
2004,HOME,OCT,23,2004,WILLINGHAM,L,23-24,24,BOSTON COLLEGE,TOM O'BRIEN,Not Ranked
2004,AWAY,NOV,6,2004,WILLINGHAM,W,17-13,Not Ranked,TENNESSEE,PHILLIP FULMER,9
2004,HOME,NOV,13,2004,WILLINGHAM,L,38-41,24,PITT,WALT HARRIS,Not Ranked
2004,AWAY,NOV,27,2004,WILLINGHAM,L,10-41,Not Ranked,SOUTHERN CAL,PETE CARROLL,1
2004,INSIGHT BOWL,DEC,28,2004,BAER,L,21-38,Not Ranked,OREGON STATE,MIKE RILEY,Not Ranked
2005,AWAY,SEP,3,2005,WEIS,W,42-21,Not Ranked,PITT,DAVE WANNSTEDT,23
2005,AWAY,SEP,10,2005,WEIS,W,17-10,20,MICHIGAN,LLOYD CARR,3
2005,HOME,SEP,17,2005,WEIS,L,41-44,10,MICHIGAN STATE,JOHN L. SMITH,Not Ranked
2005,AWAY,SEP,24,2005,WEIS,W,36-17,16,WASHINGTON,TYRONE WILLINGHAM,Not Ranked
2005,AWAY,OCT,1,2005,WEIS,W,49-28,13,PURDUE,JOE TILLER,22
2005,HOME,OCT,15,2005,WEIS,L,31-34,9,SOUTHERN CAL,PETE CARROLL,1
2005,HOME,OCT,22,2005,WEIS,W,49-23,9,BRIGHAM YOUNG,BRONCO MENDENHALL,Not Ranked
2005,HOME,NOV,5,2005,WEIS,W,41-21,8,TENNESSEE,PHILLIP FULMER,Not Ranked
2005,HOME,NOV,12,2005,WEIS,W,42-21,7,NAVY,PAUL JOHNSON,Not Ranked
2005,HOME,NOV,19,2005,WEIS,W,34-10,6,SYRACUSE,GREG ROBINSON,Not Ranked
2005,AWAY,NOV,26,2005,WEIS,W,38-31,6,STANFORD,WALT HARRIS,Not Ranked
2005,FIESTA BOWL,JAN,2,2006,WEIS,L,20-34,5,OHIO STATE,JIM TRESSEL,4
2006,AWAY,SEP,2,2006,WEIS,W,14-10,2,GEORGIA TECH,CHAN GAILEY,Not Ranked
2006,HOME,SEP,9,2006,WEIS,W,41-17,4,PENN STATE,JOE PATERNO,19
2006,HOME,SEP,16,2006,WEIS,L,21-47,2,MICHIGAN,LLOYD CARR,11
2006,AWAY,SEP,23,2006,WEIS,W,40-37,12,MICHIGAN STATE,JOHN L. SMITH,Not Ranked
2006,HOME,SEP,30,2006,WEIS,W,35-21,12,PURDUE,JOE TILLER,Not Ranked
2006,HOME,OCT,7,2006,WEIS,W,31-10,12,STANFORD,WALT HARRIS,Not Ranked
2006,HOME,OCT,21,2006,WEIS,W,20-17,10,UCLA,KARL DORRELL,Not Ranked
2006,BALTIMORE,OCT,28,2006,WEIS,W,38-14,11,NAVY,PAUL JOHNSON,Not Ranked
2006,HOME,NOV,4,2006,WEIS,W,45-26,11,NORTH CAROLINA,JOHN BUNTING,Not Ranked
2006,AWAY,NOV,11,2006,WEIS,W,39-17,9,AIR FORCE,FISHER DeBERRY,Not Ranked
2006,HOME,NOV,18,2006,WEIS,W,41-9,6,ARMY,BOBBY ROSS,Not Ranked
2006,AWAY,NOV,25,2006,WEIS,L,24-44,6,SOUTHERN CAL,PETE CARROLL,3
2006,SUGAR BOWL,JAN,3,2007,WEIS,L,14-41,11,LOUISIANA STATE,LES MILES,4
2007,HOME,SEP,1,2007,WEIS,L,3-33,Not Ranked,GEORGIA TECH,CHAN GAILEY,Not Ranked
2007,AWAY,SEP,8,2007,WEIS,L,10-31,Not Ranked,PENN STATE,JOE PATERNO,14
2007,AWAY,SEP,15,2007,WEIS,L,0-38,Not Ranked,MICHIGAN,LLOYD CARR,Not Ranked
2007,HOME,SEP,22,2007,WEIS,L,14-31,Not Ranked,MICHIGAN STATE,MARK DANTONIO,Not Ranked
2007,AWAY,SEP,29,2007,WEIS,L,19-33,Not Ranked,PURDUE,JOE TILLER,Not Ranked
2007,AWAY,OCT,6,2007,WEIS,W,20-6,Not Ranked,UCLA,KARL DORRELL,Not Ranked
2007,HOME,OCT,13,2007,WEIS,L,14-27,Not Ranked,BOSTON COLLEGE,JEFF JAGODZINSKI,4
2007,HOME,OCT,20,2007,WEIS,L,0-38,Not Ranked,SOUTHERN CAL,PETE CARROLL,13
2007,HOME,NOV,3,2007,WEIS,L,44-46,Not Ranked,NAVY,PAUL JOHNSON,Not Ranked
2007,HOME,NOV,10,2007,WEIS,L,24-41,Not Ranked,AIR FORCE,TROY CALHOUN,Not Ranked
2007,HOME,NOV,17,2007,WEIS,W,28-7,Not Ranked,DUKE,TED ROOF,Not Ranked
2007,AWAY,NOV,24,2007,WEIS,W,21-14,Not Ranked,STANFORD,JIM HARBAUGH,Not Ranked
2008,HOME,SEP,6,2008,WEIS,W,21-13,Not Ranked,SAN DIEGO STATE,CHUCK LONG,Not Ranked
2008,HOME,SEP,13,2008,WEIS,W,35-17,Not Ranked,MICHIGAN,RICH RODRIGUEZ,Not Ranked
2008,AWAY,SEP,20,2008,WEIS,L,7-23,Not Ranked,MICHIGAN STATE,MARK DANTONIO,Not Ranked
2008,HOME,SEP,27,2008,WEIS,W,38-21,Not Ranked,PURDUE,JOE TILLER,Not Ranked
2008,HOME,OCT,4,2008,WEIS,W,28-21,Not Ranked,STANFORD,JIM HARBAUGH,Not Ranked
2008,AWAY,OCT,11,2008,WEIS,L,24-29,Not Ranked,NORTH CAROLINA,BUTCH DAVIS,22
2008,AWAY,OCT,25,2008,WEIS,W,33-7,Not Ranked,WASHINGTON,TYRONE WILLINGHAM,Not Ranked
2008,HOME,NOV,1,2008,WEIS,L,33-36,Not Ranked,PITT,DAVE WANNSTEDT,Not Ranked
2008,AWAY,NOV,8,2008,WEIS,L,0-17,Not Ranked,BOSTON COLLEGE,JEFF JAGODZINSKI,Not Ranked
2008,BALTIMORE,NOV,15,2008,WEIS,W,27-21,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2008,HOME,NOV,22,2008,WEIS,L,23-24,Not Ranked,SYRACUSE,GREG ROBINSON,Not Ranked
2008,AWAY,NOV,29,2008,WEIS,L,3-38,Not Ranked,SOUTHERN CAL,PETE CARROLL,5
2008,HAWAII BOWL,DEC,24,2008,WEIS,W,49-21,Not Ranked,HAWAII,GREG McMACKIN,Not Ranked
2009,HOME,SEP,5,2009,WEIS,W,35-0,23,NEVADA,CHRIS AULT,Not Ranked
2009,AWAY,SEP,12,2009,WEIS,L,34-38,18,MICHIGAN,RICH RODRIGUEZ,Not Ranked
2009,HOME,SEP,19,2009,WEIS,W,33-30,Not Ranked,MICHIGAN STATE,MARK DANTONIO,Not Ranked
2009,AWAY,SEP,26,2009,WEIS,W,24-21,Not Ranked,PURDUE,DANNY HOPE,Not Ranked
2009,HOME,OCT,3,2009,WEIS,W,37-30,Not Ranked,WASHINGTON,STEVE SARKISIAN,Not Ranked
2009,HOME,OCT,17,2009,WEIS,L,27-34,25,SOUTHERN CAL,PETE CARROLL,6
2009,HOME,OCT,24,2009,WEIS,W,20-16,Not Ranked,BOSTON COLLEGE,FRANK SPAZIANI,Not Ranked
2009,SAN ANTONIO,OCT,31,2009,WEIS,W,40-14,Not Ranked,WASHINGTON STATE,PAUL WULFF,Not Ranked
2009,HOME,NOV,7,2009,WEIS,L,21-23,19,NAVY,KEN NIUMATALOLO,Not Ranked
2009,AWAY,NOV,14,2009,WEIS,L,22-27,Not Ranked,PITT,DAVE WANNSTEDT,8
2009,HOME,NOV,21,2009,WEIS,L,30-33,Not Ranked,CONNECTICUT,RANDY EDSALL,Not Ranked
2009,AWAY,NOV,28,2009,WEIS,L,38-45,Not Ranked,STANFORD,JIM HARBAUGH,Not Ranked
2010,HOME,SEP,4,2010,KELLY,W,23-12,Not Ranked,PURDUE,DANNY HOPE,Not Ranked
2010,HOME,SEP,11,2010,KELLY,L,24-28,Not Ranked,MICHIGAN,RICH RODRIGUEZ,Not Ranked
2010,AWAY,SEP,18,2010,KELLY,L,31-34,Not Ranked,MICHIGAN STATE,MARK DANTONIO,Not Ranked
2010,HOME,SEP,25,2010,KELLY,L,14-37,Not Ranked,STANFORD,JIM HARBAUGH,16
2010,AWAY,OCT,2,2010,KELLY,W,31-13,Not Ranked,BOSTON COLLEGE,FRANK SPAZIANI,Not Ranked
2010,HOME,OCT,9,2010,KELLY,W,23-17,Not Ranked,PITT,DAVE WANNSTEDT,Not Ranked
2010,HOME,OCT,16,2010,KELLY,W,44-20,Not Ranked,WESTERN MICHIGAN,BILL CUBIT,Not Ranked
